date,temperature,humiditiy,luminosity
2019-12-11 14:22:35.795,AA09,,310
2019-12-11 14:22:38.073,AA09,,305
2019-12-11 14:22:40.348,AA09,,310
2019-12-11 14:22:42.626,AA09,,286
2019-12-11 14:22:44.903,AA09,,307
2019-12-11 14:22:47.181,AA09,,307
2019-12-11 14:22:49.458,AA09,,307
2019-12-11 14:22:51.736,AA09,,307
2019-12-11 14:22:54.012,AA09,,310
2019-12-11 14:22:56.290,AA09,,310
2019-12-11 14:22:58.568,AA09,,305
2019-12-11 14:23:00.844,AA09,,305
2019-12-11 14:23:03.122,AA09,,307
2019-12-11 14:23:05.399,AA09,,305
2019-12-11 14:23:07.676,AA09,,307
2019-12-11 14:23:09.958,AA09,,307
2019-12-11 14:23:12.235,AA09,,305
2019-12-11 14:23:14.513,AA09,,307
2019-12-11 14:23:16.790,AA09,,307
2019-12-11 14:23:19.068,AA09,,310
2019-12-11 14:23:21.344,AA09,,307
2019-12-11 14:23:23.621,AA09,,307
2019-12-11 14:23:25.899,AA09,,307
2019-12-11 14:23:28.176,AA09,,307
2019-12-11 14:23:30.453,AA09,,310
2019-12-11 14:23:32.730,AA09,,310
2019-12-11 14:23:35.007,AA09,,315
2019-12-11 14:23:37.286,AA09,,310
2019-12-11 14:23:39.562,AA09,,310
2019-12-11 14:23:41.843,AA09,,307
2019-12-11 14:23:44.121,AA09,,305
2019-12-11 14:23:46.398,AA09,,307
2019-12-11 14:23:48.675,AA09,,310
2019-12-11 14:23:50.953,AA09,,307
2019-12-11 14:23:53.230,AA09,,305
2019-12-11 14:23:55.507,AA09,,307
2019-12-11 14:23:57.784,AA09,,305
2019-12-11 14:24:00.062,AA09,,305
2019-12-11 14:24:02.339,AA09,,305
2019-12-11 14:24:04.615,AA09,,307
2019-12-11 14:25:31.656,AA09,,315
2019-12-11 14:25:33.933,AA09,,315
2019-12-11 14:25:36.210,AA09,,284
2019-12-11 14:25:38.488,AA09,,300
2019-12-11 14:25:40.764,AA09,,305
2019-12-11 14:25:43.046,AA09,,307
2019-12-11 14:25:45.323,AA09,,305
2019-12-11 14:25:47.601,AA09,,305
2019-12-11 14:25:49.879,AA09,,305
2019-12-11 14:25:52.155,AA09,,305
2019-12-11 14:25:54.432,AA09,,320
2019-12-11 14:25:56.710,AA09,,320
2019-12-11 14:25:58.987,AA09,,320
2019-12-11 14:26:01.263,AA09,,317
2019-12-11 14:26:03.542,AA09,,310
2019-12-11 14:26:05.823,AA09,,310
2019-12-11 14:26:08.101,AA09,,307
2019-12-11 14:26:10.377,AA09,,307
2019-12-11 14:26:12.655,AA09,,307
2019-12-11 14:26:14.932,AA09,,307
2019-12-11 14:26:17.209,AA09,,307
2019-12-11 14:26:19.486,AA09,,307
2019-12-11 14:26:21.765,AA09,,307
2019-12-11 14:26:24.041,AA09,,307
2019-12-11 14:26:26.319,AA09,,307
2019-12-11 14:26:28.595,AA09,,307
2019-12-11 14:26:30.873,AA09,,305
2019-12-11 14:26:33.150,AA09,,307
2019-12-11 14:26:35.429,AA09,,305
2019-12-11 14:26:37.709,AA09,,305
2019-12-11 14:26:39.986,AA09,,307
2019-12-11 14:26:42.264,AA09,,307
2019-12-11 14:26:44.541,AA09,,305
2019-12-11 14:26:46.819,AA09,,305
2019-12-11 14:26:49.096,AA09,,307
2019-12-11 14:26:51.373,AA09,,305
2019-12-11 14:26:53.651,AA09,,302
2019-12-11 14:26:55.928,AA09,,305
2019-12-11 14:26:58.205,AA09,,307
2019-12-11 14:27:00.483,AA09,,307
2019-12-11 14:27:02.760,AA09,,302
2019-12-11 14:27:05.037,AA09,,305
2019-12-11 14:27:07.313,AA09,,305
2019-12-11 14:27:09.595,AA09,,305
2019-12-11 14:27:11.872,AA09,,317
2019-12-11 14:27:14.150,AA09,,317
2019-12-11 14:27:16.427,AA09,,317
2019-12-11 14:27:18.705,AA09,,315
2019-12-11 14:27:20.981,AA09,,312
2019-12-11 14:27:23.259,AA09,,312
2019-12-11 14:27:25.537,AA09,,312
2019-12-11 14:27:27.813,AA09,,312
2019-12-11 14:27:30.090,AA09,,312
2019-12-11 14:27:32.368,AA09,,315
2019-12-11 14:27:34.644,AA09,,312
2019-12-11 14:27:36.922,AA09,,312
2019-12-11 14:27:39.199,AA09,,312
2019-12-11 14:27:41.475,AA09,,315
2019-12-11 14:28:03.196,AA09,,297
2019-12-11 14:28:05.473,AA09,,300
2019-12-11 14:28:07.751,AA09,,305
2019-12-11 14:28:10.028,AA09,,320
2019-12-11 14:28:43.970,AA09,,305
2019-12-11 14:28:46.247,AA09,,310
2019-12-11 14:28:48.524,AA09,,310
2019-12-11 14:28:50.803,AA09,,310
,AA09,,317
,AA09,,315
2019-12-11 14:30:31.304,AA09,,315
2019-12-11 14:30:33.581,AA09,,315
2019-12-11 14:30:35.859,AA09,,310
2019-12-11 14:30:38.136,AA09,,310
2019-12-11 14:30:40.413,AA09,,307
2019-12-11 14:30:42.691,AA09,,310
2019-12-11 14:30:44.968,AA09,,310
2019-12-11 14:30:47.245,AA09,,320
2019-12-11 14:30:49.523,AA09,,317
2019-12-11 14:30:51.800,AA09,,315
2019-12-11 14:33:54.493,AA09,,317
2019-12-11 14:33:56.770,AA09,,317
2019-12-11 14:33:59.048,AA09,,317
2019-12-11 14:35:14.921,AA09,,320
2019-12-11 14:35:14.929,AA09,,320
2019-12-11 14:35:16.822,AA09,,320
2019-12-11 14:35:19.104,AA09,,317
2019-12-11 14:35:21.382,AA09,,320
2019-12-11 14:35:23.659,AA09,,320
2019-12-11 14:39:46.584,22.2,,310
2019-12-11 14:39:48.867,22.2,,307
2019-12-11 14:39:51.143,22.2,,310
2019-12-11 14:39:53.420,22.2,,307
2019-12-11 14:39:55.698,22.2,,323
2019-12-11 14:39:57.975,22.2,,317
2019-12-11 14:40:00.252,22.2,,315
2019-12-11 14:40:02.529,22.2,,315
2019-12-11 14:40:04.807,22.2,,312
2019-12-11 14:40:07.083,22.2,,312
2019-12-11 14:40:09.361,22.2,,312
2019-12-11 14:40:11.639,22.2,,312
2019-12-11 14:40:13.917,22.2,,312
2019-12-11 14:40:16.193,22.2,,312
2019-12-11 14:40:18.471,22.2,,312
2019-12-11 14:40:20.751,22.2,,312
2019-12-11 14:40:23.029,22.2,,310
2019-12-11 14:40:25.306,22.2,,317
2019-12-11 14:40:27.584,22.2,,312
2019-12-11 14:40:29.862,22.2,,317
2019-12-11 14:40:32.138,22.2,,323
2019-12-11 14:40:34.415,22.2,,326
2019-12-11 14:40:36.692,22.2,,323
2019-12-11 14:40:38.969,22.2,,323
2019-12-11 14:40:41.246,22.2,,312
2019-12-11 14:40:43.524,22.2,,312
2019-12-11 14:40:45.803,22.2,,315
2019-12-11 14:40:48.078,22.2,,312
2019-12-11 14:40:50.356,22.2,,315
2019-12-11 14:40:52.634,22.2,,317
2019-12-11 14:40:54.914,22.2,,312
2019-12-11 14:40:57.192,22.2,,315
2019-12-11 14:40:59.469,22.2,,312
2019-12-11 14:41:01.746,22.2,,310
